date,full_content,likes,retweets,followers,sentiment,url
2023-11-14,"<:retweet:1130467740306657360> K A L E O retweeted K A L E O about BTC RT @CryptoKaleo: #Bitcoin / $BTC

Crypto is down today while stocks are ripping.

After Bitcoin outperformed the S&P 500 by 55% over the pa…",114,24,0,0.8159,https://twitter.com/user/status/1724514001009189047
2023-11-11,"IncomeSharks tweeted about SPX, STOCKS, BTC $SPX - I like the idea of #Stocks just pumping the rest of the month BUT it's hard to ignore the gap fill above and we haven't re-tested the breakout. This would be interesting to see if it coincides with a #Bitcoin pullback. One more candle close higher and invalidated.",7,1,578,0.1154,https://twitter.com/user/status/1723137075711775196
2023-10-03,"IncomeSharks tweeted about SPX, BTC $SPX  with another bloody day, dropping #Bitcoin with it. Great buying opportunity as there's a good chance we see both recover tomorrow (don't want to see this trendline break)",9,2,1,0.8261,https://twitter.com/user/status/1709316806043934726
2023-10-03,"K A L E O tweeted about SPX, BTC $BTC vs. $SPX still looks incredibly bullish",0,0,4803,0.5766,https://twitter.com/user/status/1709241308823318998
2023-06-05,"DaanCrypto tweeted about BTC, SPX Since June, $BTC and $SPX have not been moving hand in hand anymore.

So far in June, $SPX has rallied almost 3% as BTC fell about -2%.

No crazy numbers, but comparing it to how prices were moving together at the end of May, it's still noteworthy.",31,3,13,0.2033,https://twitter.com/DaanCrypto/status/1665720281183268866
2023-05-23,"CryptoKaleo tweeted about SPX, BTC $BTC showing solid strength vs. $SPX

Signs of a reversal after the rejection at the 2017 ATH / 3AC-Celsius collapse level.",4,0,698,-0.4404,https://twitter.com/CryptoKaleo/status/1661095124485414933
2023-05-23,"ByzGeneral tweeted about SPX, BTC $BTC x $SPX correlation has been going down a lot lately.",0,0,391,0.0,https://twitter.com/ByzGeneral/status/1661085136195076127
2023-04-06,"Nebraskangooner tweeted about BTC Stock market closed tomorrow and it's a U.S. Holiday weekend... 

What could go wrong for #Bitcoin traders?",9,1,197,-0.1027,https://twitter.com/Nebraskangooner/status/1644096763995758595
2023-03-31,"eliz883 🔁 eliz883 about SPX, ETH $ETH really clean for me  

> [@eliz883](https://twitter.com/eliz883):
> $ETH I would like to see a D close above 1820 to have bullish confirmations...until then under res...but I prefer not to go short at least until $SPX open
> Simple for me",0,0,19711,0.6697,https://twitter.com/eliz883/status/1641718179838799873
2023-03-17,"DaanCrypto tweeted about BTC, SPX $BTC & $SPX Correlation is completely gone which can be seen on the correlation coefficient at the bottom.

Anything above the red 0 line means correlation. Below there is an inverse correlation.

It's as random as can be currently.

This suits crypto well in my opinion.",4,0,140,0.2732,https://twitter.com/DaanCrypto/status/1636734904074469376
2023-03-17,"DaanCrypto tweeted about BTC, SPX $BTC & $SPX Correlation & Bear Market Bottoms 📚

A small thread about what happened in 2018 and if the 2022 situation is similar. 👇",20,3,766,0.0,https://twitter.com/DaanCrypto/status/1636700713676947456
2023-03-17,"DaanCrypto tweeted about BTC, SPX $BTC & $SPX Correlation & Bear Market Bottoms 📚

A small thread about what happened in 2018 and if the 2022 situation is similar. 👇",0,0,72,0.0,https://twitter.com/DaanCrypto/status/1636700597083688961
2023-03-10,"CryptoJelleNL tweeted about ETH, BTC, ES=F Oh - while we're at it - the stock market is sitting on a key area too.

So what we have is #Bitcoin at must bounce level, $ETH at must bounce level, $ES at must bounce level.

Big day, must bounce.",3,0,110,0.0,https://twitter.com/CryptoJelleNL/status/1634138820634345475
