date,full_content,assigned_event,similarity
2023-03-17,"DaanCrypto tweeted about BTC, SPX $BTC & $SPX Correlation is completely gone which can be seen on the correlation coefficient at the bottom.

Anything above the red 0 line means correlation. Below there is an inverse correlation.

It's as random as can be currently.

This suits crypto well in my opinion.",0,0.5939419206791529
2023-03-17,"DaanCrypto tweeted about BTC, SPX $BTC & $SPX Correlation & Bear Market Bottoms 📚

A small thread about what happened in 2018 and if the 2022 situation is similar. 👇",0,0.7628865533573125
2023-03-10,"CryptoJelleNL tweeted about ETH, BTC, ES=F Oh - while we're at it - the stock market is sitting on a key area too.

So what we have is #Bitcoin at must bounce level, $ETH at must bounce level, $ES at must bounce level.

Big day, must bounce.",0,0.7097576678824343
2023-03-10,"CryptoJelleNL tweeted about BTC $20.400 key level for #Bitcoin from here.

Ideally want to see a daily close back above there, but be mindful of a potential bearish retest as well.

Relief rally after the stock markets close tonight?",0,0.6866605384543613
2023-03-15,"Murfski_ tweeted about SPX, BTC, DXY #BTC at range highs

$DXY waking up with a nice rally

$SPX hovering at support just above it’s former downtrend line

Something’s telling me tread carefully",0,0.6519312479276655
2023-03-17,"HackermanAce 🔁 Banana3Stocks about SPY, META, BABA, NVDA $BABA $SPY $NVDA $META 

BABA has been in a long downtrend 

Looks ready for a bounce IMO

I’m targeting the 100MA on the daily chart just above $90.00",0,0.7676916911361911
2023-03-17,reciknows 🔁 Zig_ZagTrades about SPY $SPY  2D,0,0.615842047440488
2023-03-17,Zig_ZagTrades tweeted about SPY $SPY  2D,0,0.615842047440488
2023-03-17,"reciknows 🔁 optionflys about SPY, QQQ, SPX $SPX Next update : 03/16/2023 

$SPY $QQQ",0,0.5916285733016204
2023-03-16,"kpak82 tweeted about SPY $SPY (daily) a look back in history:
September 15, 2008  Bankruptcy of Lehman Brothers.",0,0.7592616640931535
2023-03-16,"reciknows 🔁 reciknows about QQQ, SIVB, JPM, SBNY, C, IWM, SPY, CS, WFC, XLF, GS, BAC, MS $XLF Daily. #XLF bullish reversal divergence, bounce in play as long as it holds today's low. Still hasn't cracked Oct low either 

$SPY $QQQ $IWM $BAC $GS $WFC $MS $JPM $C $CS $SBNY $SIVB",0,0.8151295830777985
2023-03-16,"reciknows 🔁 reciknows about QQQ, DIA, SBNY, IWM, SVIB, SPY, CS, RTY_F, SMALLCAPS $IWM Daily. Failed pennant breakout into -> breakdown from pennant. Currently flashing bullish reversal divergence so a bounce is in play so long as #IWM holds > 170 

$RTY_F #RTY_F #smallcaps $SPY $QQQ $DIA $SVIB $SBNY $CS",0,0.8151295830777985
2023-03-16,"reciknows 🔁 reciknows about XLK, ES=F, QQQ, SBNY, XLF, IWM, SVIB, SPY, CS, SPX $SPY Daily. #SPY still anticipating a bounce here despite below 50, 100 & 200sma. Would be a re-test of the breakdown from this head & shoulders pattern (396-400) 

$SPX $ES_F #SPX #ES_F $XLK $IWM $QQQ $SVIB $SBNY $CS $XLF",0,0.5916285727919477
2023-03-16,"reciknows 🔁 reciknows about QQQ, ES=F, DIA, SBNY, DJIA, IWM, SVIB, SDOW, SPY, UDOW, CS, DOWJONES $DIA Weekly. #DIA still holding the breakout from downtrend line – backtest? 

$DJIA $SPY $QQQ $IWM $ES_F $SDOW #DowJones $SVIB $SBNY $UDOW $CS",0,0.615842047440488
2023-03-16,"reciknows 🔁 reciknows about QQQ, STOCKMARKET, GLD, DIA, TLT, DXY, SBNY, IWM, SVIB, CPI, SPY, CS, FOMC, XLF, VIX $TLT Daily. #TLT ascending triangle in play for 20+ treasury bonds 

$SPY $QQQ $IWM $DIA $XLF $GLD $VIX #CPI #FOMC $DXY $SVIB $SBNY $CS #StockMarket",0,0.6126635586159008
2023-03-16,"the_chart_life tweeted about SPY, ES=F, SPX Where would the S&P 500 be if it was still based on the pre-1988 weighting system?

$SPX $SPY $ES_F",0,0.5916285733016204
2023-03-16,"the_chart_life tweeted about SPY, ES=F, SPX Where would the S&P 500 be if it was still based on the original weighting system?

$SPX $SPY $ES_F",0,0.5916285733016204
2023-03-16,"reciknows 🔁 cfromhertz about SPY, SMH $SMH vs $SPY",0,0.615842047440488
2023-03-16,"reciknows tweeted about XLK, NQ=F, QQQ, AMZN, NASDAQ, MSFT, NDX, SBNY, SVIB, SPY, CS, AAPL $QQQ Weekly. #QQQ strongest of all indices, bull flag in play here after retesting 50/200sma. Needs to hold > 285

$NDX $NQ_F $XLK #Nasdaq $AAPL $MSFT $AMZN $SPY $CS $SVIB $SBNY",0,0.6801769588069041
