date,full_content,assigned_event,similarity
2023-10-03,"IncomeSharks tweeted about SPX, BTC $SPX  with another bloody day, dropping #Bitcoin with it. Great buying opportunity as there's a good chance we see both recover tomorrow (don't want to see this trendline break)",1,0.5591837098833627
2023-10-03,"K A L E O tweeted about SPX, BTC $BTC vs. $SPX still looks incredibly bullish",1,0.6432311187050208
2023-09-05,"MOHAMAD Ali tweeted about SPY, BTC, ETH $spy $btc $eth dump soon",1,0.7340421159470418
2023-10-03,Theta Warrior tweeted about SPY $SPY Not a good look. 😬,1,0.6001065896288063
2023-10-03,"Don't follow Shardi B if you hate Money tweeted about SPY Bottom candle formed on my tweet...LFG 🙏

$SPY",1,0.6001065896288063
2023-10-03,"Don't follow Shardi B if you hate Money tweeted about SPY $SPY

This is interesting...daily RSI now oversold (below 30) and approaching most oversold level in a few years...

We are probably close to at least a short term bounce IMO",2,0.7658837601187501
2023-10-03,Ace tweeted about SPY $spy Looking for a kijun flip and E2E play on the 15m,1,0.6001065896288063
2023-09-05,Theta Warrior tweeted about SPY $SPY Net Options Delta: -1.1M shares,1,0.8505336957857761
2023-09-04,"<:quote_tweet:1130467736133316700> Ace quote tweeted about SPY Big day Thursday!

> [@volmancapital](https://twitter.com/volmancapital):
> Economic Calendar for the week 📍 $SPY",1,0.6001065896288063
2023-09-04,"<:quote_tweet:1130467736133316700> krillin ॐ quote tweeted about XAU, SPX gm

I really wanna short this hard, but I'll also remind you that burgers have Labor Day so today's price action is to be taken with a grain of salt

shorting it but half risk

> [@LSDinmycoffee](https://twitter.com/LSDinmycoffee):
> $SPX $XAU
> 
> Low time frame distribution?",1,0.6461362695664682
2023-10-03,"Pro Trader - Kay tweeted about SPY, WBA Watching $SPY $WBA to name a few! 👀",1,0.6001065896288063
2023-09-05,"Pro Trader - Kay tweeted about ABNB, NVDA, SPY, TSLA, AMD Watching $AMD $ABNB $TSLA $NVDA $SPY today to name a few! 👀",1,0.6001065896288063
2023-09-05,"ReciKnows tweeted about SPY, QQQ, IWM Only a few hours left! ⏰

Final opportunity to take advantage of the @TrendSpider Labor Day Sale:

◦ 20% off Essential
◦ 50% off Elite
◦ 60% off Elite Plus

Don’t wait!  This offer disappears at midnight tonight.

Start free trial -> https://t.co/i3mItZ6MPa 

$SPY $QQQ $IWM…",1,0.6001065896288063
2023-10-03,kpak tweeted about Stock Market Heat map at lunchtime,1,0.8911092329443985
2023-09-05,"Daan Crypto Trades tweeted about The US Stock Market opens back up today.

Are we seeing the first proper lower high being formed in this 2023 rally or will this break through soon?

What do you think?

If you want to trade Indices, FX & Commodities using Crypto consider: https://t.co/VZNADvrnZu",1,0.922341817552363
2023-10-03,"First Squawk tweeted about UNOFFICIALLY, S&P 500 CLOSES AT LOWEST LEVEL SINCE JUNE 1, NASDAQ COMPOSITE CLOSES AT LOWEST LEVEL SINCE MAY 31, DOW INDUSTRIALS CLOSES AT LOWEST LEVEL SINCE MAY 31",0,0.6684744672265709
2023-10-03,"<:retweet:1130467740306657360> First Squawk retweeted about RT @RedboxWire: NASDAQ UNOFFICIALLY CLOSES DOWN 254.15 POINTS, OR 1.91%, AT 13,053.62

S&P 500 UNOFFICIALLY CLOSES DOWN 62.29 POINTS, OR 1.…",1,0.8686260623667266
2023-10-03,"*Walter Bloomberg tweeted about 🔸 U.S. STOCKS EXTEND FALL, S&P 500 DOWN 1%",1,0.8067963813023414
2023-10-03,"First Squawk tweeted about DOW JONES DOWN 128.36 POINTS, OR 0.38 %, AT 33,304.99 AFTER MARKET OPEN

S&P 500 DOWN 19.63 POINTS, OR 0.46 PERCENT, AT 4,268.76 AFTER MARKET OPEN

NASDAQ DOWN 79.05 POINTS, OR 0.59 PERCENT, AT 13,228.72 AFTER MARKET OPEN",1,0.9397683058429711
2023-10-03,"*Walter Bloomberg tweeted about 🔸S&P 500 FUTURES HIT SESSION LOW, DOWN AS MUCH AS 0.5%",0,0.6828836727691704
2023-10-03,"*Walter Bloomberg tweeted about 🔸 U.S. S&P 500 E-MINI FUTURES DOWN 0.17%, NASDAQ FUTURES DOWN 0.29%, DOW FUTURES DOWN 0.14%",0,0.7417157474471917
2023-09-05,"First Squawk tweeted about S&P 500 DOWN 0.1%, NASDAQ FLAT, DOW JONES DOWN 0.2%",0,0.6684744672265709
2023-09-05,"*Walter Bloomberg tweeted about BX BLACKSTONE SHARES UP 3.68% AFTER ANNOUNCEMENT CO TO JOIN S&P 500
$BX",0,0.8658407543724831
2023-09-05,"First Squawk tweeted about DOW JONES DOWN 12.72 POINTS, OR 0.04 %, AT 34,824.99 AFTER MARKET OPEN

S&P 500 DOWN 4.89 POINTS, OR 0.11 PERCENT, AT 4,510.88 AFTER MARKET OPEN

NASDAQ  DOWN 34.06 POINTS, OR 0.24 PERCENT, AT 13,997.76 AFTER MARKET OPEN",1,0.9397683058429711
2023-09-05,"*Walter Bloomberg tweeted about S&P 500 E-MINI FUTURES DOWN 0.08%, NASDAQ FUTURES DOWN 0.19%",0,0.7332143537488703
